Name,Budget,Lokasi,Rating,Picture
Atanaya Kuta Bali,1125590.00,"Jl. Sunset Road No.88A, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361",4.30,https://drive.google.com/file/d/1x2XArj5Nh6x8mAug8S9XqfpJ_-LaF_xU/view?usp=sharing 
ASTON Denpasar Hotel & Convention Center,818550.00,"Jl. Gatot Subroto Barat No.283, Pemecutan Kaja, Kec. Denpasar Utara, Kota Denpasar, Bali 80111",4.12,https://drive.google.com/file/d/1b74wZAcZ3mudC4KD6A6qEXgpnC191zfd/view?usp=sharing
Hilton Bali Resort,3569500.00,"Jl. Raya Nusa Dua Selatan, Benoa, Kec. Kuta Sel., Kabupaten Badung, Bali 80363",4.40,https://drive.google.com/file/d/1Y8hksph6kMKdFofzPJ4aYcIWFj1gRYHp/view?usp=sharing
Potato Head Suites & Studios,4484000.00,"Jl. Petitenget No. 51B, Seminyak. Kuta Utara, Badung, Bali, Seminyak, Kuta, Bali, Indonesia, 80361",4.60,https://drive.google.com/file/d/1tjY9oXgX5MSaZyo4Y-7EBBP4FE1rAdeo/view?usp=sharing
Asvara Villa Ubud by Ini Vie Hospitality,2022779.00,"Jalan Bangkiang Sidem No.8x Ubud, Ubud, Payangan, Bali, Indonesia, 80571",4.40,https://drive.google.com/file/d/11x-fWyez3fvio-KmUltxWzqzO3lLYDyh/view?usp=sharing
Sujiwa Ubud Retreat Villa,625000.00,"Jl. Subak Gunung Sari, Sumampan, Kemenuh, 80571 Ubud, Bali, 80571 Ubud, Indonesia, Ubud, Kemenuh, Bali, Indonesia, 80571",4.30,https://drive.google.com/file/d/1ausP934SrBslvaAz8n49shmv4KfjqrZa/view?usp=sharing
Wyndham Tamansari Jivva Resort,622565.00,"Jalan Subak Lepang No.16 ,Pantai Lepang, Klungkung, Bali, Indonesia, 80752",4.35,https://drive.google.com/file/d/1hVUM_sTiMyrG5K_UnMsruHfuAPoelLT1/view?usp=sharing
HARRIS Hotel & Residences Sunset Road,663000.00,"Jalan Pura Mertasari Sunset Road, Denpasar Barat, Denpasar, Bali, Indonesia, 80361",4.25,https://drive.google.com/file/d/1_wCHlpUIXf-pfEUe5tTkdaPrHWYV_h2g/view?usp=sharing
Jambuluwuk Oceano Seminyak Hotel,1178775.00,"Jl. Petitenget 108 - 110, Seminyak, Kuta, Bali, Indonesia, 80361",4.25,https://drive.google.com/file/d/1CXsvp54gd0AXzUkABBM7Wq9VzL3RBArl/view?usp=sharing
Hotel Santika Siligita Nusa Dua,770000.00,"Jl. Pintas Siligita No. 3A Banjar Peminge Nusa Dua, Bali - Indonesia, Nusa Dua, Kuta Selatan, Bali, Indonesia, 80363",4.25,https://drive.google.com/file/d/1gNgHFeUtcfcI13dHpJB1TXwUtWh1zGLO/view?usp=sharing
Conjioo Hotel Kuta (Formerly Instyle Hotel),772500.00,"Jl.Dewi Sri I No.16 Legian - Kuta, Legian, Kuta, Bali, Indonesia, 80361",4.25,https://drive.google.com/file/d/1tjikIONu0zVLACu1QJldPegV0Ibbnoco/view?usp=sharing
THE 1O1 Bali Oasis Sanur,949000.00,"Jl. Danau Tamblingan No. 136 A Bali 80228 -Indonesia, Sanur, Bali, Indonesia, 80228",4.25,https://drive.google.com/file/d/1aq0-b8Ky0elTnnfBpvtc7fsKjItZktUU/view?usp=sharing
Infinity8 Bali,958001.00,"Jalan By Pass Ngurah Rai no. 88A, Jimbaran, Jimbaran, Kuta Selatan, Bali, Indonesia, 80361",4.35,https://drive.google.com/file/d/1DIlDx8bY9KLBvB85ClnLiKPaNq8eFZFy/view?usp=sharing
The Sakala Resort Bali - All Suites,1584900.00,"Jalan Pratama No. 95, Tanjung Benoa, Nusa Dua, Tanjung Benoa, Bali, Indonesia, 80363",4.20,https://drive.google.com/file/d/1KmCCZ3uiPGLSvnZX9vkb8NbfkSaAETfI/view?usp=sharing
InterContinental Hotels BALI RESORT,3418531.00,"Jalan Uluwatu 45,Jimbaran, Jimbaran, Kuta Selatan, Bali, Indonesia, 80361",4.45,https://drive.google.com/file/d/1mAzwP0Sl3nnHj1XmP-lV3k3i7F9aU8vM/view?usp=sharing
Hotel Indigo Bali Seminyak Beach,3238468.00,"Jl. Camplung Tanduk No. 10,Seminyak, Seminyak, Kuta, Bali, Indonesia, 80361",4.50,https://drive.google.com/file/d/1CpshPviUonkWhTt46wpKZOp-Dpc7d4hP/view?usp=sharing
The Lerina Hotel Nusa Dua,493500.00,"Jalan Bypass Ngurah Rai No.1001x Badung, Nusa Dua, Kuta Selatan, Bali, Indonesia, 80361",4.25,https://drive.google.com/file/d/1pnigtBUrlcVYccArN75-sjqEJP0IKaOA/view?usp=sharing 
Cozy Stay Hotel Bali by ARM Hospitality,329175.00,"Jalan Gunung Soputan No. 88, Kecamatan Denpasar Barat, Denpasar Barat, Denpasar, Bali, Indonesia, 80361",4.10,https://drive.google.com/file/d/1mrOzCIZD3GkMDJ-UQapKdWr4jjAn048x/view?usp=sharing
Andaz Bali - a concept by Hyatt,4782882.00,"Jl. Danau Tamblingan 89a, Sanur, Sanur, Bali, Indonesia, 80228",4.60,https://drive.google.com/file/d/1iQCFHO8qs8d8-M2Z01YfaySlj2fYCN9Q/view?usp=sharing
Graha Socio Hotel,416160.00,"jalan bypass ngurah rai jl Nusa Dua - Bandara Ngurah rai - Benoa toll Road no 88X, Benoa, Kec. Kuta Selatan, Kabupaten Badung, Bali, Nusa Dua, Kuta Selatan, Bali, Indonesia, 80361",4.25,https://drive.google.com/file/d/1aXmRTm9CxX6_hdGz-Rxe5lBhUra9ShBl/view?usp=sharing
The Kuta Beach Heritage Hotel Bali - Managed by Accor,1427800.00,"Jl Pantai Kuta Br Pande Mas, Kuta Badung Bali indonesia, Kuta, Badung, Bali, Indonesia, 80361",4.35,https://drive.google.com/file/d/14wAzvWTrpl0EWz9clAQYdDcAb5AwO9Af/view?usp=sharing
Hotel Nikko Bali Benoa Beach,1168810.00,"Jl. Pratama No. 68X, Tanjung Benoa, Nusa Dua, Tanjung Benoa, Bali, Indonesia, 80363",4.30,https://drive.google.com/file/d/1yJhHDR_Kg7yce7hnAYhkxArkbtSmgnpv/view?usp=sharing
The Kubu Hotel,147263.00,"Jalan Poppies 1 Gg. Sorga, Poppies, Kuta, Bali, Indonesia, 80361",4.00,https://drive.google.com/file/d/1XObqpcNFgqY8tCtbcHpCU1cvxgJY3LQG/view?usp=sharing
Tijili Benoa Hotel,788858.00,"Jl. Pratama No 62, Nusa Dua, Tanjung Benoa, Bali, Indonesia, 80361",4.35,https://drive.google.com/file/d/16L7QOdhqToJ5oIVIR0u7hzL5HcqWsDuB/view?usp=sharing
"Four Points by Sheraton Bali, Ungasan",1064800.00,"Jalan Raya Uluwatu, Banjar Giri Dharma Ungasan, Kuta Selatan 80364 Indonesia, Jimbaran, Kuta Selatan, Bali, Indonesia, 80364",4.35,https://drive.google.com/file/d/1MZC0FHDt5vVJmHaOxcdiRpSbEdEnYRg6/view?usp=sharing
The Garcia Ubud Hotel and Resort,2187676.00,"Jalan Raya Silungan, Lodtunduh, Ubud, Gianyar, Bali, Indonesia, 80571",4.45,https://drive.google.com/file/d/1v-kj4N5jV5rO5U1mAmF7JnZjh_CdTkqP/view?usp=sharing
Puri Saron Baruna Beach Cottages,638400.00,"Desa Pemaron, Lovina, Buleleng, Bali, Indonesia, 81151",4.30,https://drive.google.com/file/d/1PpEAxryxz7LaHpCmRccuuQ9wr7B9KMv5/view?usp=sharing
ZURI Express Jimbaran,312860.00,"Jalan  Uluwatu II, NO. 88X, Jimbaran, Kuta Selatan, Jimbaran, Kuta Selatan, Bali, Indonesia, 80361",4.30,https://drive.google.com/file/d/1BbP5ZmHaP1nvn_shzEHFNlIYJ4PMlDjI/view?usp=sharing
The Cakra Hotel,471240.00,"Jln By Pass Ngurah Rai No.28 Sanur, Denpasar Timur, Denpasar, Bali, Indonesia, 80237",4.30,https://drive.google.com/file/d/1LIuufquCefPhR5Y_qL1gLeTF7eNXiPoL/view?usp=sharing
Grandmas Plus Hotel - Legian,527000.00,"Jalan Sriwijaya No. 368, Legian, Kuta, Bali, Indonesia, 80361",4.20,https://drive.google.com/file/d/1ywziTzmdel_vEOQYdjAXvRluyg9NFjKe/view?usp=sharing
Super OYO Flagship 2688 Guntur Hotel,171000.00,"Jalan Gatot Subroto Timur No 32 Tohpati Denpasar, Denpasar Utara, Bali, 80361, Indonesia, Denpasar Timur, Denpasar, Bali, Indonesia, 80361",3.85,https://drive.google.com/file/d/1_56Obb3zPhH7q49PVTqPjzBdNZ9pS8tK/view?usp=sharing
Euphoria Hotel ,1652400.00,"Jl. Patih Jelantik 11-12, Legian, Kuta, Bali, Indonesia",4.25,https://drive.google.com/file/d/1yIC2lhQGzX43qip54eofdy-93IRzPKUF/view?usp=sharing
Candi Beach Resort and Spa,7437221.00,"Mendira Beach Sengkidu Candi Dasa Kecamatan Karangasem, Candidasa, Karangasem, Bali, Indonesia, 80033",4.40,https://drive.google.com/file/d/1eTvfW_VwWKhXN7p1wG_No2ATrerUcqc9/view?usp=sharing
Swiss-Belinn Legian,615000.00,"Jalan Padma Utara, Legian, Legian, Kuta, Bali, Indonesia, 80361",4.25,https://drive.google.com/file/d/1ePEBWYGm7X-8lsyoI4VDA2VOa-tScJmo/view?usp=sharing
Novotel Bali Ngurah Rai Airport,1299999.00,"Jalan Airport Ngurah Rai, Tuban, Kuta, Tuban, Kuta, Bali, Indonesia, 80362",4.35,https://drive.google.com/file/d/1Qrt39z6QPYFQF4yxo9YbFTTGV9Tws7F3/view?usp=sharing
The Yani Hotel,228561.00,"Jalan By Pass Ngurah Rai Pesanggaran 660, Denpasar Selatan, Denpasar, Bali, Indonesia, 80222",4.05,https://drive.google.com/file/d/1bMroS5uXG9HmuFn2UyMZd7yJ3HMay--S/view?usp=sharing
Horison Le Aman ,318240.00,"Jl. Bypass Ngurah Rai No.50, Jimbaran, Kec. Kuta Sel., Kabupaten Badung, Bali, Jimbaran, Kuta Selatan, Bali, Indonesia, 80361",4.30,https://drive.google.com/file/d/1KQA6i3H-uB74IlyPARlZ5hXjIBTK1uSX/view?usp=sharing
Scala Bed and Beyond,388450.00,"Jalan Bimasena No 8 Br Anyar, Canggu, Kuta Utara, Bali, Indonesia, 80361",4.30,https://drive.google.com/file/d/1mC1KbWx7ZawkqnW6-x_tfdUt5ZF2NHb2/view?usp=sharing
dprimahotel Seminyak,565250.00,"Jl. Kayu Jati no.16, Seminyak, Seminyak, Kuta, Bali, Indonesia, 80361",4.15,https://drive.google.com/file/d/197TcB4p8m4gMD-K9MLSzuDaSNX6OxJsf/view?usp=sharing
ABISHA Resort Jimbaran,369093.00,"Jalan Raya Kampus Unud, Kuta Selatan, Jimbaran, Kuta Selatan, Bali, Indonesia, 80364",4.25,https://drive.google.com/file/d/1r4hBkAyCX2MnrrpqUSZosRhapuRl4mmx/view?usp=sharing
Tapa Tepi Kali Canggu by Pramana,1142683.00,"Jalan Padang Linjong, Canggu, Kuta Utara, Canggu, Kuta Utara, Bali, Indonesia, 80351",4.30,https://drive.google.com/file/d/1JoFjJyt_Nczg50iiRnTAuNxCXW5TqnQ0/view?usp=sharing
Brits Resort Lovina,853927.00,"Jalan Raya Singaraja - Lovina, Lovina, Buleleng, Bali, Indonesia, 81101",4.40,https://drive.google.com/file/d/1TM81LmzfluZVVHvsb0fYCZA0Qcu_0jpt/view?usp=sharing
7 Bidadari Seminyak,425000.00,"Jl. Bidadari IV No. 7, Seminyak, Seminyak, Kuta, Bali, Indonesia, 80361",4.35,https://drive.google.com/file/d/1pNdRbCCfGr4A8JpPjjlhEzZRS2B-Q3PA/view?usp=sharing
Titik Dua,2006720.00,"Jl. Tjok Rai Pudak no.48, Peliatan, Ubud. Gianyar, Ubud, Gianyar, Bali, Indonesia, 80571",4.55,https://drive.google.com/file/d/1vMDIJhgru1VAM9m8oTVmXXr7ZvM4oN9C/view?usp=sharing
The Nest Hotel Nusa Dua,1119887.00,"Jalan Pratama 99X , Nusa Dua - Bali, Nusa Dua, Tanjung Benoa, Bali, Indonesia, 80363",4.40,https://drive.google.com/file/d/14cpGZ-oqd9Bt5vuAdKDqnYDwz3NpSs3G/view?usp=sharing
RedDoorz Plus @ Sunrise Hotel Sanur,209648.00,"Jl. By Pass Ngurah Rai, No.119, Sanur, Kecamatan Denpasar Selatan, Sanur, Bali, Indonesia, 80227",3.90,https://drive.google.com/file/d/1w6m9kYQO4TQgt4bEcXdjG8iUJh-X8unQ/view?usp=sharing
ASTON Canggu Beach Resort,2072400.00,"Jalan Pantai Batu Bolong No.99, Canggu, Kuta Utara, Bali, Canggu, Kuta Utara, Bali, Indonesia, 80361",4.25,https://drive.google.com/file/d/1hSDph23EoRzZrnJxXL248VhlBfQITLIs/view?usp=sharing
The Aromas of Bali Hotel & Residence,240000.00,"Jl Legian 191, Legian, Kuta, Bali, Indonesia, 80361",3.80,https://drive.google.com/file/d/1Jg4aqNdrna1CFYNi0MAUlRy7tMmEFBSC/view?usp=sharing
Coco De Heaven,200232.00,"Jalan Bypass Ngurah Rai No 17x Kelan Jimbaran, Jimbaran, Kuta Selatan, Bali, Indonesia, 80361",4.05,https://drive.google.com/file/d/1seqFurruwU3LDhU3Ydk0eYnle0Cuu8SZ/view?usp=sharing
Restu Bali Hotel,308295.00,"Jalan Raya Legian No.113, Legian, Kuta, Bali, Indonesia, 80361",4.20,https://drive.google.com/file/d/1IFnoBoWSfQoXFNS-s0QGL78GR7-d_MLr/view?usp=sharing
Nikhila Seminyak Bali,543543.00,"Jalan Cendrawasih NO. 28 Seminyak, Kerobokan Kelod, Kec. Kuta Utara, Badung, Bali 80361, Indonesia, Seminyak, Kuta, Bali, Indonesia, 80361",4.25,https://drive.google.com/file/d/1pOJZXvbSJ1NmYc__HimH_kuN8HZ9qn3_/view?usp=sharing
SPOT ON 2426 Hotel Aget Jaya Ii,78107.00,"Jl. Dewi Madri VIII No.5, Panjer, Bali, Denpasar Selatan, Denpasar, Bali, Indonesia, 80361",3.65,https://drive.google.com/file/d/1W3i1NMtLqDSvqpbXg3WZUOs69lmdvBhJ/view?usp=sharing
Jumana Bali Ungasan Resort Managed by Hilton,7648410.00,"Jl. Melasti, Banjar Kelod, Ungasan, Uluwatu, Kuta Selatan, Bali, Indonesia, 80364",4.40,https://drive.google.com/file/d/1im-sDBMskX5D2beyhwoQgmID9MjHh3I0/view?usp=sharing
Bakung Sari Resort and Spa,191250.00,"Jalan Kubu Anyar, Kuta, Badung, Bali, Indonesia, 80361",4.00,https://drive.google.com/file/d/1ieiEl2nVOOYwyXFCXO11pcwexwuimooU/view?usp=sharing
Nyanyi Sanctuary Villa by Ini Vie Hospitality,1093950.00,"Jl. Pantai Nyanyi no 8x, Beraban, Kec. Kediri, Kabupaten Tabanan, Bali 80351, Tanah Lot, Tabanan, Bali, Indonesia, 80351",4.30,https://drive.google.com/file/d/11GTezLmNgWqM0UR520-g4G-yk53uHDdn/view?usp=sharing
Gahana Bali Villa by Mindi Hospitality,4399688.00,"jalan yudistira seminyak kuta badung bali indonesia, Seminyak, Kuta, Bali, Indonesia, 80361",4.30,https://drive.google.com/file/d/1BQBKl-NJcfwM6o2eYNO5eqhUZu_9OzIV/view?usp=sharing
JIMBARAN 12 RESIDENCE,170000.00,"Jl Raya Uluwatu No. 37B Jimbaran, Kuta Selatan, Jimbaran, Kuta Selatan, Bali, Indonesia, 80361",4.30,https://drive.google.com/file/d/189fls-yOmn19GBSXIy3j4f-cd-GDNQ6i/view?usp=sharing
Bintang Kuta Hotel,765000.00,"Jalan Kartika Plaza, Kuta, Kuta, Badung, Bali, Indonesia, 80361",4.35,https://drive.google.com/file/d/1iAWSq7nQZHTrq8YWDzaqeFTrVHoWQCPS/view?usp=sharing
Familytel Bali,355110.00,"Jalan Bypass Ngurah Rai no 8x Tuban, Tuban, Kuta, Bali, Indonesia, 80361",4.10,https://drive.google.com/file/d/142hH9r6x0MgV3nRReirt53lpEpPkbIfg/view?usp=sharing
Gana Hotel & Restaurant,573750.00,"Jalan Pengosekan, Ubud, Monkey Forest, Bali, Indonesia, 80571",4.45,https://drive.google.com/file/d/1metNB1qqLBszbNNC47JwmY8uNvg909uX/view?usp=sharing
Ubud Raya Shala,801108.00,"Banjar Sindu, Jalan Raya Sayan - Ubud, Bali, Ubud, Sayan, Bali, Indonesia, 80571",4.30,https://drive.google.com/file/d/11I41XeN02JAvyluSkCow0oQA9WSOm67H/view?usp=sharing
"Alam Ubud Culture, Environment Villas & Residences",995775.00,"Desa Kendran. Tegallalang, Ubud, Ubud, Tegallalang, Bali, Indonesia, 80357",4.30,https://drive.google.com/file/d/13xL5gqKdglGMDrolD7Lj4AhJTDpXtTC0/view?usp=sharing
Sunrise Suite Seminyak by ARM Hospitality,688500.00,"Jalan taman sari v nomer 88 , Kuta Utara, Kerobokan, Bali, Indonesia, 80361",4.25,https://drive.google.com/file/d/1V_dgrcxen99lUkRPIdCvn7wztSvLl6e8/view?usp=sharing
Menjangan Dynasty Resort,2918933.00,"Desa Pejarakan  Gerokgak, Buleleng, North West Bali 81155, Menjangan, Buleleng, Bali, Indonesia, 81155",4.55,https://drive.google.com/file/d/17gRFm-vmgKe6aoQzROIanq_5A5iQCy4M/view?usp=sharing
Roomates Hostel Canggu by Ini Vie Hospitality,939250.00,"Jl. Pantai Batu Bolong Gg. Bonton No.8x, Canggu, Kec. Kuta Utara, Kabupaten Badung, Bali 80351, Canggu, Kuta Utara, Bali, Indonesia, 80351",4.40,https://drive.google.com/file/d/1GT_hZx5aypsfqnUyCwUwkX58WfqdpXUr/view?usp=sharing
Aloft Bali Seminyak CHSE Certified,1452000.00,"Jalan Batu Belig No. 228, Seminyak, Kuta, Bali, Indonesia, 8036",4.40,https://drive.google.com/file/d/1ukiluu8a1HImKe2gKMmBP6D7YH5jlSrY/view?usp=sharing
The St. Regis Bali Resort - CHSE Certified,10920251.00,"Kawasan Pariwisata, Nusa Dua, Lot S6, Nusa Dua, Nusa Dua Beach, Bali, Indonesia, 80363",4.50,https://drive.google.com/file/d/1jrQx4mT2qZzeGZFixTMyWFUim2BnvOka/view?usp=sharing
Bulgari Resort Bali - CHSE Certified,26620000.00,"Jalan Goa Lempeh, Banjar Dinas Kangin, Banjar Dinas Kangin, Uluwatu, Uluwatu, Kuta Selatan, Bali, Indonesia, 80364",4.60,https://drive.google.com/file/d/1gvz2q_FSbt_b0Hm9j9Nj4OpV5CtrF31N/view?usp=sharing
Aksari Resort Ubud by Ini Vie Hospitality,4146000.00,"Jl. Raya Desa Kenderan No.88x, Ubud, Ubud, Tegallalang, Bali, Indonesia, 80561",4.45,https://drive.google.com/file/d/1NFadK905vUKQBHt4Gdj9YXu2G9NBJFuF/view?usp=sharing
Le Meridien Bali Jimbaran - CHSE Certified,1887600.00,"Jalan Bukit Permai, Jimbaran, Kuta Selatan, Bali, Indonesia, 80361",4.30,https://drive.google.com/file/d/1D8tVFtFB_sclDe9p1L0A4-D0cQkSs9q1/view?usp=sharing
Ramayana Candidasa,996532.00,"Jalan Raya Sengkidu - Amlapura , Candidasa, Karangasem, Bali, Indonesia, 80801",4.40,https://drive.google.com/file/d/1rVl9wGqheIIAv7tzcVQr5ipof2z6rxKo/view?usp=sharing
The Swaha Hotel,386492.00,"Jalan Pasekan no 28b , Banjar tubuh , Batubulan , Sukawati Gianyar , Bali , Sukawati, Batubulan, Bali, Indonesia, 80582",4.35,https://drive.google.com/file/d/1w2_On5-6BrHMSIv_GdlVA-tpJOQCW7nr/view?usp=sharing
The Sandat Bungalow,350351.00,"Jl. Raya Klumpu - Toya Pakeh, Sakti, Klungkung Regency, Bali, Indonesia, Nusa Penida, Nusa Island, Bali, Indonesia, 80771",4.40,https://drive.google.com/file/d/1jhYc5_-bCYsrStxPYoK1BZkCKwfzyaJQ/view?usp=sharing
Kubu Bali Baik Villa & Resort ,561600.00,"Br. Umah Anyar Pejeng Kawan Tampaksiring , Ubud, Tampaksiring, Bali, Indonesia, 80552",4.40,https://drive.google.com/file/d/1KnyFFbcHcpGC4GfkDzpjGDNH4UE7eZxm/view?usp=sharing
Mejore Beach Hotel,469557.00,"Jl. Ketut Natih, Amed, Bali, Amed, Karangasem, Bali, Indonesia, 80852",4.35,https://drive.google.com/file/d/1Q0H7RQHQQD6xOxYy8d8vMNEBx97IoGHQ/view?usp=sharing
Poh Manis Lembongan,428400.00,"Ancak Village - Lembongan, Nusa Lembongan, Nusa Island, Bali, Indonesia, 80771",4.30,https://drive.google.com/file/d/1HS8pWtlPMHAdrn-N_trAjz4ptMC5ewFr/view?usp=sharing
Natya River Sidemen,724173.00,"Jl. Pura Dalam Banjar dinas, Jl. Wangsean - Klungah, Wismakerta, Kabupaten Karangasem, Bali, Sidemen, Karangasem, Bali, Indonesia, 80864",4.10,https://drive.google.com/file/d/19QVZMl_RaFIVR4h7Stn9DUVOz_ixAVdb/view?usp=sharing
Kangkung Cottages Karangasem,204819.00,"Jalan Pantai Jasri, Karangasem, Amlapura, Karangasem, Bali, Indonesia, 80363",4.10,https://drive.google.com/file/d/1WiS9Tq6Omp3LNTwN8bEJdabwUu7SLXzB/view?usp=sharing
Juan Beach Bungalow,325125.00,"Jl karang sari, desa suana, kecamatan nusa penida, , Nusa Penida, Nusa Island, Bali, Indonesia, 80771",4.35,https://drive.google.com/file/d/1ADiCcOlxc3gTcaHxVTJ4TgndrTfSPNSr/view?usp=sharing
Keramas Sacred River Village,585225.00,"jalan Raya Selukat, Keramas, Gianyar, Keramas, Gianyar, Bali, Indonesia, 80851",4.45,https://drive.google.com/file/d/1h7x-zNoDkGwWeDoraS23LBeA8aaH_urC/view?usp=sharing
Dewa Bharata Bungalow Candidasa,234600.00,"Jalan Raya Candidasa, Candidasa, Karangasem, Bali, Indonesia, 80851",4.05,https://drive.google.com/file/d/1xoFU0DJeF4iJkHhDO0oW9GLefZSR56uj/view?usp=sharing
At The Beach Candidasa,382500.00,"Jl. Pantai Indah No. 16, Candidasa - Bali, Candidasa, Karangasem, Bali, Indonesia, 8085",4.20,https://drive.google.com/file/d/1rvAZ5MdEl1MQfUyy6gdycQtSm_LglUxz/view?usp=sharing
Seamount Hotel,1097095.00,"Jl. I Ketut Natih, Purwakerti, Abang, Kabupaten Karangasem, Amed, Karangasem, Bali, Indonesia, 80852",4.65,https://drive.google.com/file/d/1-u-my3cFinOYe5GaT2hCcFykFao4sTSZ/view?usp=sharing
Kubu Bali Suites Seminyak,308953.00,"Jl.Raya Kerobokan Gang.7,no 3 Kerobokan Kelod - Badung Bali, Kuta Utara, Kerobokan, Bali, Indonesia, 80361",4.35,https://drive.google.com/file/d/1u__HawBE7oyqZnnJ0BdSrqClda6X1Nyy/view?usp=sharing
Jungle Retreat by Kupu Kupu Barong,1907057.00,"Kedewatan Ubud, Ubud, Kedewatan, Bali, Indonesia, 80571",4.25,https://drive.google.com/file/d/1kYjibNw57BfcAdagcZuHHBlS9aY6ogY1/view?usp=sharing
Quest San Hotel Denpasar by ASTON,339221.00,"Jalan Mahendradata No.93, Denpasar Barat, Denpasar, Bali, Indonesia, 80117",4.25,https://drive.google.com/file/d/1tlj0TE5Ui_zEkTynSWZ8GM70qW4uRHFo/view?usp=sharing
Bali Mystique Apartment Seminyak,1237759.00,"Jalan Petitenget no.2000XX, Seminyak, Kuta, Bali, Indonesia, 80361",4.30,https://drive.google.com/file/d/1MGyfI2Gnx5TQ6FTr4HLjnmQSAtGG92II/view?usp=sharing
The Anvaya Beach Resort Bali,2335286.00,"Jalan Kartika Plaza, Kuta, Badung, Bali, Indonesia, 80361",4.45,https://drive.google.com/file/d/14ed1couehq8Gqdy3da1uYKbsafXzJ9tf/view?usp=sharing
Prama Sanur Beach Bali,1652400.00,"Jl. Cemara, Sanur Kauh, Sanur, Bali, Indonesia, 80228",4.30,https://drive.google.com/file/d/1cR0KdnbFGYB3IvozKSQz-rwqsuOq4YRn/view?usp=sharing
Paragon Hotel Seminyak,484499.00,"Jalan Batu Belig No. 555, Seminyak, Kuta, Bali, Indonesia, 80361",4.10,https://drive.google.com/file/d/1vlWf2cggSGUbQVHKIsRAwfyKe5Cd3fZX/view?usp=sharing
Sanur Agung Hotel,320000.00,"Jalan I Gusti Ngurah Rai No.174, Sanur, Bali, Sanur, Bali, Indonesia",3.95,https://drive.google.com/file/d/1A_3DuaKkO1lL-6vefqU94kNnmVlRtXRP/view?usp=sharing
Candy Bed & Breakfast,1425000.00,"Jalan Nusa Ceningan, Nusa Ceningan, Nusa Island, Bali, Indonesia, 80771",4.30,https://drive.google.com/file/d/13jwHS45ZParro80FSBT3p7PVg8ZrdvI7/view?usp=sharing
Arana Suite,496485.00,"Jl. Dewi Ratih No. 5 Legian - Bali, Legian, Kuta, Bali, Indonesia, 80361",4.50,https://drive.google.com/file/d/1NggsF3UH90VeH1c5x6kw-0gcU6d9Ggvc/view?usp=sharing
Kupu Kupu Jimbaran Beach Club & Spa by Loccitane,1989822.00,"Jalan Raya Uluwatu, Banjar Pesalakan , Jimbaran, Kuta Selatan, Bali, Indonesia, 80361",4.20,https://drive.google.com/file/d/12gj9KBwExyz5b-kA28gxvuM8ThlWvy07/view?usp=sharing
Di Uma Residence Hotel & Dormitory,308333.00,"Jalan Tukad Badung XVI No 1001 Renon Denpasar, Denpasar Selatan, Denpasar, Bali, Indonesia, 80226",4.01,https://drive.google.com/file/d/157Oc7CiajCEOkcP_Gfg73TZSus0RJKkl/view?usp=sharing
The Visala Boutique Suite Seminyak,1921921.00,"Jalan Cendrawasih No.8 Petitenget, Kerobokan - Bali, Seminyak, Kuta, Bali, Indonesia, 80361",4.30,https://drive.google.com/file/d/1AA1c0p9MIm2v8MAiJgEB6VjitXNv9XbT/view?usp=sharing
Uma Shanty,270581.00,"Jalan Darmawangsa Budakeling Bebandem, Karangasem, Bali, Indonesia, 80861",4.00,https://drive.google.com/file/d/1lMAZw9mXgp86o81RhaX3iDmAQE7up4o0/view?usp=sharing
Bali Tropic Resort & Spa,1549125.00,"Jalan Pratama 34A Nusa Dua, Nusa Dua, Tanjung Benoa, Bali, Indonesia, 80363",4.30,https://drive.google.com/file/d/1B38PIJ3c-xIVQQcFzLq44EX-eaUM2pM4/view?usp=sharing
Siddhartha Oceanfront Resort & Spa Bali - CHSE Certified,2102105.00,"Jl. Kubu, Siddhartha Ocean Front Resort & Spa, Tulamben, Karangasem, Bali, Indonesia, 80853",4.30,https://drive.google.com/file/d/1ldnHSS61kCbMgGZfGEjIUc1gV9ROHI8Z/view?usp=sharing
"Jimbaran Puri, A Belmond Hotel, Bali",6375603.00,"Jalan Uluwatu, Yoga Perkanthi Lane, Jimbaran - South Kuta - Badung Regency, Bali, Jimbaran, Kuta Selatan, Bali, Indonesia, 80361",4.80,https://drive.google.com/file/d/1SDVRRAQyrBwWqTn4LXBxhTfvQ9fKc-kE/view?usp=sharing
